,t,Sensor_1,Sensor_2,Sensor_3,Sensor_4
330,0.000165,0,0.000699729,-0.002736583,-0.010368599
331,0.0001655,0,-0.001236795,-0.006412157,-0.006782115
332,0.000166,0,-0.002762982,-0.003546758,0.001593235
333,0.0001665,0,-0.00306399,0.003840505,0.007807113
334,0.000167,0,-0.001709111,0.009165759,0.007371907
335,0.0001675,0,0.000874661,0.007585933,0.001738859
336,0.000168,0,0.003281928,0.000173528,-0.003904262
337,0.0001685,0,0.003839327,-0.007333892,-0.005600457
338,0.000169,0,0.001883502,-0.009440992,-0.003314793
339,0.0001695,0,-0.001441097,-0.005133505,0.000411994
340,0.00017,0,-0.003789735,0.001829262,0.003255891
341,0.0001705,0,-0.003397313,0.006490257,0.004213551
342,0.000171,0,-0.000603414,0.006770768,0.002973337
343,0.0001715,0,0.002301775,0.004239225,-0.000295995
344,0.000172,0,0.002948587,0.001225678,-0.004077264
345,0.0001725,0,0.000933183,-0.001849146,-0.005495833
346,0.000173,0,-0.001784696,-0.005362604,-0.002604354
347,0.0001735,0,-0.002577248,-0.007405379,0.002983144
348,0.000174,0,-0.00052482,-0.004182772,0.006605973
349,0.0001745,0,0.002629592,0.004781573,0.004669637
350,0.000175,0,0.003901972,0.013012913,-0.001573249
351,0.0001755,0,0.001741089,0.011754605,-0.006761656
352,0.000176,0,-0.002391739,-0.000130702,-0.006298308
353,0.0001765,0,-0.005071328,-0.012600078,-0.000588156
354,0.000177,0,-0.003835442,-0.013525167,0.005493373
355,0.0001775,0,0.000539002,-0.001807539,0.007166032
356,0.000178,0,0.004525791,0.010627202,0.003744158
357,0.0001785,0,0.004828945,0.011394924,-0.001516722
358,0.000179,0,0.001273016,0.001046482,-0.004885983
359,0.0001795,0,-0.003028034,-0.008099445,-0.005114806
360,0.00018,0,-0.00444558,-0.006291326,-0.003351042
361,0.0001805,0,-0.002046344,0.002956047,-0.001052816
362,0.000181,0,0.001709453,0.007990554,0.001333713
363,0.0001815,0,0.003376457,0.003176182,0.003782713
364,0.000182,0,0.001718179,-0.00502635,0.005529269
365,0.0001825,0,-0.0013125,-0.006658634,0.005111928
366,0.000183,0,-0.002628091,-0.000314197,0.001714663
367,0.0001835,0,-0.001020577,0.005934194,-0.003604139
368,0.000184,0,0.001774191,0.004950565,-0.008062155
369,0.0001845,0,0.002893602,-0.001086597,-0.008688292
370,0.000185,0,0.001178241,-0.004190911,-0.004251117
371,0.0001855,0,-0.001746171,-0.000695815,0.003539968
372,0.000186,0,-0.003102893,0.004702602,0.010371077
373,0.0001865,0,-0.001650788,0.005225618,0.011524931
374,0.000187,0,0.001168452,0.00016646,0.005214536
375,0.0001875,0,0.002655518,-0.004864627,-0.005182333
376,0.000188,0,0.001428667,-0.004944005,-0.012508554
377,0.0001885,0,-0.001291392,-0.001000718,-0.010935703
378,0.000189,0,-0.002844414,0.002462542,-0.001136497
379,0.0001895,0,-0.001621428,0.003067281,0.00940034
380,0.00019,0,0.001402432,0.002337026,0.01222331
381,0.0001905,0,0.003475509,0.002309814,0.005306839
382,0.000191,0,0.002519166,0.002339011,-0.004973963
383,0.0001915,0,-0.00092149,0.000299355,-0.009645585
384,0.000192,0,-0.003975124,-0.003851632,-0.005438178
385,0.0001925,0,-0.003849375,-0.007044387,0.002506794
386,0.000193,0,-0.000357501,-0.005893108,0.006159147
